recipe_id,recipe_name,ingredients,nutritions,veg_nonveg,diet_goal,health_score,image_link,steps,user_id,rating
21,Andhra Special Tamarind Rice,"rice, tamarind, peanuts, chana dal, urad dal, mustard seeds, red chilies, curry leaves, turmeric, oil, salt","{'calories': 340, 'protein_g': 12, 'carbs_g': 58, 'fat_g': 8}",Veg,Traditional / Tangy,78,https://th.bing.com/th/id/OIP.IuBaIVeVxhbQTVxAaFiOAwHaHa?w=192&h=192&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Cook rice and spread to cool Extract tamarind pulp and cook with spices Roast peanuts and prepare tempering Mix rice with tamarind paste and tempering Add peanuts and serve,user_0,3
22,Andhra Style Coconut Rice,"rice, fresh coconut, mustard seeds, urad dal, chana dal, green chilies, curry leaves, cashews, oil, salt","{'calories': 380, 'protein_g': 10, 'carbs_g': 60, 'fat_g': 12}",Veg,Festive / Rich,75,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/05/coconut-rice-recipe.jpg,"Cook rice and spread to cool Grate fresh coconut Roast cashews until golden Prepare tempering with dals and spices Mix rice with coconut, tempering, and cashews Serve at room temperature",user_1,3
23,Andhra Special Curd Rice,"rice, yogurt, milk, ginger, green chilies, mustard seeds, urad dal, curry leaves, oil, salt","{'calories': 280, 'protein_g': 12, 'carbs_g': 45, 'fat_g': 6}",Veg,Comfort Food / Cooling,85,https://th.bing.com/th/id/OIP.2lGBI2A9G1yLCNj0t1X3sAHaFj?w=245&h=184&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Cook rice until soft and mushy Mix with yogurt and milk while rice is warm Add grated ginger and chopped green chilies Prepare tempering with mustard seeds and curry leaves Mix tempering into rice mixture Chill and serve,user_2,3
24,Andhra Style Bisi Bele Bath,"rice, toor dal, mixed vegetables, bisi bele bath powder, tamarind, jaggery, mustard seeds, curry leaves, ghee, oil, salt","{'calories': 350, 'protein_g': 15, 'carbs_g': 55, 'fat_g': 10}",Veg,One-Pot Meal / Balanced,82,https://tse2.mm.bing.net/th/id/OIP.OKSPzPCkgSVYRJ-xHrhKvAHaHa?pid=ImgDet&w=185&h=185&c=7&dpr=1.3&o=7&rm=3,Pressure cook rice and dal with vegetables Extract tamarind pulp and cook with spices Mix everything together and simmer Add jaggery for balanced taste Prepare tempering with ghee Serve hot with papad,user_3,2
25,Andhra Special Pongal,"rice, moong dal, pepper, cumin, ginger, cashews, ghee, salt","{'calories': 320, 'protein_g': 12, 'carbs_g': 50, 'fat_g': 8}",Veg,Comfort Food / Light,85,https://th.bing.com/th/id/OIP.alRcZHtpnGTtNd9E0q0RqwHaD4?w=325&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Dry roast moong dal until aromatic Pressure cook rice and dal together Add crushed pepper, cumin, and ginger Temper with ghee and roasted cashews Mix everything well and serve hot Best served with sambar and chutney",user_4,5
26,Gongura Pappu (Sorrel Leaves Dal),"toor dal, gongura (sorrel leaves), green chilies, onion, turmeric, ghee, mustard seeds, cumin seeds, red chilies (dried), garlic, salt","{'calories': 310, 'protein_g': 16, 'carbs_g': 40, 'fat_g': 10}",Veg,Traditional / High Fiber,85,https://images.unsplash.com/photo-1620942001550-93a9035e5a9c?q=80&w=2940&auto=format&fit=crop,"Wash toor dal and gongura leaves. Pressure cook the dal with gongura, sliced green chilies, chopped onion, and turmeric until soft. Mash the dal gently and mix in salt. Heat ghee for tempering. Add mustard seeds, cumin seeds, dried red chilies, crushed garlic, and curry leaves. Once the tempering splutters, pour it over the cooked dal and mix well. Serve hot with rice and a dollop of ghee.",user_5,1
27,Pesarattu (Green Moong Dal Dosa),"whole green gram (pesaralu), rice (optional), ginger, green chilies, cumin seeds, onion, oil, salt","{'calories': 220, 'protein_g': 12, 'carbs_g': 35, 'fat_g': 4}",Veg,High Protein Breakfast,90,https://th.bing.com/th/id/OIP.GvDAgu5sn2aqwCFo6AOz8QHaLH?w=182&h=273&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Soak green gram (and rice, if using) for 4-6 hours. Grind the soaked dal with ginger, green chilies, cumin, and salt into a smooth batter. Heat a non-stick tawa and pour a ladleful of batter, spreading it quickly into a thin circle. Drizzle oil around the edges. Sprinkle finely chopped onion on top (optional). Cook until golden brown and crispy. Fold and serve immediately. Traditionally served with Allam Pachadi (Ginger Chutney).",user_6,1
28,Gutti Vankaya Kura (Stuffed Brinjal Curry),"small brinjals (eggplant), peanuts, sesame seeds, coconut powder, red chili powder, coriander powder, cumin powder, tamarind pulp, oil, salt","{'calories': 380, 'protein_g': 12, 'carbs_g': 30, 'fat_g': 25}",Veg,Traditional / Side Dish,75,https://th.bing.com/th/id/OIP.cXXuQb5VDUWPNOBHpm-DUgHaFJ?w=259&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Slit the brinjals into a cross shape, keeping the stem intact, and soak in salted water. Dry roast peanuts and sesame seeds. Grind them with coconut, spices, salt, and tamarind to form a paste. Stuff the brinjals with the paste. In a deep pan, heat oil and gently place the stuffed brinjals. Cover and cook on low heat, turning occasionally, until the brinjals are tender and the gravy is thick. Serve hot with rotis or rice.",user_7,3
29,Andhra Chicken Curry (Kodi Kura),"chicken (bone-in), onion, tomato, ginger-garlic paste, chili powder, coriander powder, garam masala, turmeric, oil, curry leaves, cilantro, salt","{'calories': 400, 'protein_g': 40, 'carbs_g': 10, 'fat_g': 20}",Non-Veg,Spicy / High Protein,70,https://th.bing.com/th/id/OIP.5jSQKZHdArIzeZEK5mzH4wHaLH?w=126&h=190&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Marinate chicken with a pinch of turmeric and salt. Heat oil in a pan, add chopped onion and sauté until golden. Add curry leaves. Stir in ginger-garlic paste and cook until the raw smell is gone. Add chopped tomatoes and cook until soft and mushy. Stir in chili, coriander, and garam masala powders. Cook for 2 minutes. Add the marinated chicken and mix well. Cook until the chicken is half-done. Pour in 1 cup of water, cover, and simmer for 15-20 minutes until the chicken is tender and the curry is thick. Garnish with fresh cilantro and serve with rice or roti.",user_8,5
30,Dibba Rotti (Andhra Minapa Rotti),"urad dal (minapa pappu), idli rava (rice semolina), ginger, green chilies, cumin seeds, oil/ghee, salt","{'calories': 280, 'protein_g': 10, 'carbs_g': 40, 'fat_g': 8}",Veg,Traditional Breakfast / Snack,80,https://th.bing.com/th/id/OIP.UdO57dDx3Si20fftxSA3agHaE8?w=261&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Soak urad dal overnight. Grind it into a thick, fluffy batter (like for idli). Soak idli rava separately for 10 minutes and squeeze out excess water. Mix it into the urad dal batter. Add finely chopped ginger, green chilies, cumin seeds, and salt to the batter. Mix well. Heat a deep, heavy-bottomed pan (like a cast iron skillet) and generously grease it with oil/ghee. Pour the batter into the pan (about 1.5 inches thick). Cover and cook on very low heat for 20-25 minutes until the bottom is golden brown and crisp. Flip the rotti and cook the other side (covered or uncovered) until completely cooked through and golden. Cut into wedges and serve with a chutney or sambar.",user_9,3
31,Tamarind Rice (Chintapandu Pulihora),"rice, tamarind pulp, peanuts, chana dal, urad dal, mustard seeds, red chilies (dried), curry leaves, turmeric, sesame oil, salt","{'calories': 350, 'protein_g': 8, 'carbs_g': 55, 'fat_g': 12}",Veg,Festive / Traditional,75,https://th.bing.com/th/id/OIP.sUixntasB6wrJVR8Kw1AXgHaE8?w=294&h=196&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Cook rice and let it cool completely, spreading it out to prevent stickiness. Mix the thick tamarind pulp with turmeric and salt in a bowl. Heat sesame oil in a large pan. Add peanuts and fry until golden. Remove and set aside. In the same oil, add chana dal, urad dal, mustard seeds, dried red chilies, and curry leaves for tempering. Once the seeds splutter, add the tamarind-turmeric mixture to the pan. Cook until the raw smell of tamarind is gone and the mixture thickens. Mix the cooked tamarind paste and fried peanuts into the cooled rice gently, ensuring the rice is coated evenly without mashing. Serve at room temperature.",user_0,2
32,Tomato Pappu (Andhra Tomato Dal),"toor dal, tomatoes, green chilies, onion, turmeric, ghee, mustard seeds, cumin seeds, red chilies (dried), garlic, salt, cilantro","{'calories': 290, 'protein_g': 14, 'carbs_g': 40, 'fat_g': 8}",Veg,Daily Staple / Balanced,85,https://th.bing.com/th/id/OIP.A3fE4yjurbNdc8amkjOBOgHaLG?w=115&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Wash toor dal. Pressure cook the dal with chopped tomatoes, green chilies, chopped onion, and turmeric until soft. Mash the dal gently and mix in salt. Heat ghee for tempering. Add mustard seeds, cumin seeds, dried red chilies, crushed garlic, and curry leaves. Once the tempering splutters, pour it over the cooked dal and mix well. Garnish with chopped cilantro and serve with rice or roti.",user_1,4
33,Aloo Vepudu (Andhra Potato Fry),"potatoes, oil, mustard seeds, urad dal, chana dal, curry leaves, red chili powder, turmeric, garlic powder (optional), salt","{'calories': 300, 'protein_g': 5, 'carbs_g': 45, 'fat_g': 12}",Veg,Side Dish / Quick Meal,70,https://th.bing.com/th/id/OIP.Ygn_jIF4v15xceGhrKgfNAHaE8?w=279&h=186&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Peel and chop potatoes into small, even cubes. Boil or steam them until about 80% cooked. Heat oil in a wide pan/kadai. Add mustard seeds, urad dal, chana dal, and curry leaves for tempering. Add the par-boiled potato cubes to the pan and fry on medium-high heat until they start to brown and crisp. Stir in turmeric, red chili powder, garlic powder (if using), and salt. Mix well to coat the potatoes. Continue to fry for another 5-7 minutes until the potatoes are fully cooked and crispy. Serve as a spicy, crispy side dish for dal and rice.",user_2,2
34,Coconut Chutney (Kobbari Pachadi),"fresh grated coconut, chana dal (roasted), ginger, green chilies, tamarind pulp, salt, oil, mustard seeds, urad dal, curry leaves","{'calories': 180, 'protein_g': 5, 'carbs_g': 15, 'fat_g': 12}",Veg,Accompaniment / Quick,85,https://th.bing.com/th/id/OIP.yh6Ujc-IswE-rU7kb4PfMwHaE7?w=241&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Combine grated coconut, roasted chana dal, ginger, green chilies, tamarind, and salt in a blender. Add a little water and blend to a smooth, thick consistency. Heat a small pan with oil for tempering. Add mustard seeds, urad dal, and curry leaves. Once the tempering splutters, pour it over the chutney and mix gently. Serve as a classic accompaniment to idli, dosa, or pesarattu.",user_3,4
35,Lemon Rice (Nimmakaya Pulihora),"rice, lemon juice, peanuts, chana dal, urad dal, mustard seeds, green chilies, curry leaves, turmeric, oil, salt","{'calories': 300, 'protein_g': 7, 'carbs_g': 50, 'fat_g': 8}",Veg,Quick Meal / Refreshing,80,https://tse2.mm.bing.net/th/id/OIP.swtdKVF0vUHqxs0MDqBt4wHaE8?rs=1&pid=ImgDetMain&o=7&rm=3,"Cook rice and let it cool completely, spreading it out to prevent stickiness. Heat oil in a pan. Fry peanuts until golden. Remove and set aside. In the same oil, add chana dal, urad dal, mustard seeds, and sliced green chilies for tempering. Once the seeds splutter, add curry leaves and a pinch of asafoetida (hing, optional). Stir in turmeric powder. Mix the cooled rice with salt, lemon juice, the tempering mixture, and fried peanuts. Mix gently. Serve at room temperature.",user_4,4
36,Punugulu (Rice & Urad Dal Fritters),"idli/dosa batter, rice flour (optional), onion, ginger, green chilies, cumin seeds, oil (for frying), salt","{'calories': 250, 'protein_g': 7, 'carbs_g': 35, 'fat_g': 9}",Veg,Snack / Street Food,65,https://th.bing.com/th/id/OIP.7hbueaD0MNRnoIoG6bImPwHaLG?w=115&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Take the idli/dosa batter (should be thick). If too thin, add a tablespoon of rice flour. Finely chop onion, ginger, and green chilies. Add them to the batter along with cumin seeds and salt. Heat oil in a deep pan for frying. Drop small spoonfuls of the batter into the hot oil. Fry until golden brown and crispy, turning them occasionally. Drain excess oil and serve hot with peanut or coconut chutney.",user_5,5
37,Mamidikaya Pappu (Raw Mango Dal),"toor dal, raw mango, green chilies, turmeric powder, ghee, mustard seeds, cumin seeds, red chilies (dried), curry leaves, salt","{'calories': 300, 'protein_g': 15, 'carbs_g': 40, 'fat_g': 9}",Veg,Daily Staple / Tangy,87,https://th.bing.com/th/id/OIP.JVSzJejwnuzruw1k0z2vBgHaGk?w=210&h=186&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Wash toor dal. Peel and chop the raw mango into small pieces. Pressure cook the dal, mango, sliced green chilies, and turmeric powder with water until well mashed. Mash the mixture gently and stir in salt. Heat ghee for tempering. Add mustard seeds, cumin seeds, dried red chilies, and curry leaves. Pour the tempering over the cooked dal and mix well. Serve hot with rice and a dollop of ghee.",user_6,5
38,Mirapakaya Bajji (Chili Fritters),"large green chilies (bajji mirchi), besan (chickpea flour), rice flour, baking soda, ginger-garlic paste, carom seeds (ajwain), oil (for frying), salt","{'calories': 250, 'protein_g': 8, 'carbs_g': 30, 'fat_g': 11}",Veg,Spicy Snack / Fried,60,https://th.bing.com/th/id/OIP.LbiAzqQ96oWoc49xbhX9vwHaE8?w=204&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Slit the chilies lengthwise and remove the seeds (optional). Mix besan, rice flour, baking soda, ginger-garlic paste, carom seeds, and salt with water to form a thick, smooth batter. Heat oil in a pan for deep frying. Dip each chili in the batter to coat thoroughly. Gently drop the battered chilies into the hot oil. Fry until golden brown and crispy, turning them as needed. Drain and serve hot, often stuffed with a mixture of chopped onion and lemon juice.",user_7,3
39,Sunnundalu (Urad Dal Jaggery Laddu),"urad dal (whole/split), jaggery, ghee (clarified butter)","{'calories': 150, 'protein_g': 5, 'carbs_g': 20, 'fat_g': 7}",Veg,Traditional Sweet / High Protein,75,https://th.bing.com/th/id/OIP.L4gWjbtH9-L2YURU853vbgHaJZ?w=158&h=200&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Dry roast the urad dal on low heat until it turns light brown and aromatic. Let it cool completely. Grind the cooled urad dal into a fine powder. In a separate mixer, grind the jaggery into a fine powder. Mix the urad dal powder and jaggery powder well in a large bowl. Melt the ghee and gradually add it to the mixture, mixing quickly. While the mixture is still warm, shape it tightly into small round laddus. Store in an airtight container.",user_8,5
40,Chicken Biryani (Andhra Style),"basmati rice, chicken (bone-in), curd/yogurt, ginger-garlic paste, biryani masala, chili powder, turmeric, onion, mint, cilantro, oil/ghee, saffron/food color, salt","{'calories': 550, 'protein_g': 40, 'carbs_g': 55, 'fat_g': 20}",Non-Veg,Hearty Meal / Spicy,65,https://www.indianhealthyrecipes.com/wp-content/uploads/2019/02/chicken-biryani-500x375.jpg,"Marinate chicken with yogurt, ginger-garlic paste, biryani masala, chili powder, turmeric, salt, mint, and cilantro for at least 2 hours. Sauté sliced onions in oil/ghee until golden brown (for layering). Cook basmati rice to 70% doneness and drain. Layer the bottom of a heavy-bottomed pot with marinated chicken. Top with a layer of partially cooked rice. Sprinkle a little fried onion, mint, and saffron milk/color over the rice. Repeat layers until all ingredients are used, finishing with rice. Cover the pot tightly (use dough to seal if necessary) and cook on low heat (dum) for 20-30 minutes. Gently fluff the biryani before serving hot.",user_9,2
